,TargetSoundSeg,targetSegOnset,targetSegSize,CorpusSoundSeg,corpusSegOnset,corpusSegSize,DISTANCE_BETWEEN_SEGS
141,ic-demo1.wav-dsr,1026086,51500,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,2.9686452648566766
142,ic-demo1.wav-tran,1089122,618,SnareBrightFSharpKeyS.wav-tran,23072,412,0.3731796971203856
143,ic-demo1.wav-dsr,1089740,23072,Bongo2.wav-dsr,21836,3502,0.3956169687263973
144,ic-demo1.wav-tran,1113018,1030,SnareBrightFSharpKeyS.wav-tran,23072,412,1.358561595264259
145,ic-demo1.wav-dsr,1114048,7622,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,1.693839539617643
146,ic-demo1.wav-tran,1156278,1854,MetalShaker2S.wav-tran,23072,1442,0.9957166454178163
147,ic-demo1.wav-dsr,1158132,11124,Cowbell1S.wav-dsr,25956,9682,0.346101009377767
148,ic-demo1.wav-tran,1175230,1236,MetalShaker2S.wav-tran,23072,1442,1.0198347043264395
149,ic-demo1.wav-dsr,1176466,18540,Cowbell1S.wav-dsr,25956,9682,1.1013593479291568
150,ic-demo1.wav-tran,1195212,1442,SnareBrightFSharpKeyS.wav-tran,23072,412,1.6640210003360734
151,ic-demo1.wav-dsr,1196654,824,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,1.9391366843291693
152,ic-demo1.wav-tran,1207366,412,MetalShaker2S.wav-tran,23072,1442,1.0647689450380926
153,ic-demo1.wav-dsr,1207778,1854,Cowbell1S.wav-dsr,25956,9682,0.5084265467116713
154,ic-demo1.wav-tran,1211692,1236,MetalShaker2S.wav-tran,23072,1442,1.1139540381169262
155,ic-demo1.wav-dsr,1212928,1648,CymbalStrike2S.wav-dsr,24576,219136,0.2701042583143911
156,ic-demo1.wav-tran,1224464,618,SnareBrightFSharpKeyS.wav-tran,23072,412,1.4134199035405437
157,ic-demo1.wav-dsr,1225082,412,Bongo2.wav-dsr,21836,3502,1.1401036101681896
158,ic-demo1.wav-tran,1235176,2060,MetalShaker2S.wav-tran,23072,1442,1.5372845442222725
159,ic-demo1.wav-dsr,1237236,824,CongaMuff.wav-dsr,53972,10300,0.5781187342359798
160,ic-demo1.wav-tran,1241150,1648,MetalShaker2S.wav-tran,23072,1442,0.8257592886471992
161,ic-demo1.wav-dsr,1242798,3708,Cowbell1S.wav-dsr,25956,9682,0.4669767339683325
162,ic-demo1.wav-tran,1248772,1648,MetalShaker2S.wav-tran,23072,1442,0.8973375136212575
163,ic-demo1.wav-dsr,1250420,206,TomHugeLowCSharpKeyS.wav-dsr,40994,30488,0.8892837137429699
164,ic-demo1.wav-tran,1259484,1854,MetalShaker2S.wav-tran,23072,1442,1.6887038971041382
165,ic-demo1.wav-dsr,1261338,2678,Cowbell1S.wav-dsr,25956,9682,0.8980066455611468
166,ic-demo1.wav-tran,1271844,1030,SnareBrightFSharpKeyS.wav-tran,23072,412,1.8046275990965428
167,ic-demo1.wav-dsr,1272874,206,TomHugeLowCSharpKeyS.wav-dsr,22454,17510,0.9514294321725872
168,ic-demo1.wav-tran,1343120,1648,MetalShaker2S.wav-tran,23072,1442,0.3968901980483681
169,ic-demo1.wav-dsr,1344768,206,CymbalChoke1S.wav-dsr,22866,16686,2.081542802915634
170,ic-demo1.wav-tran,1375256,618,MetalShaker2S.wav-tran,23072,1442,0.8252758315472204
171,ic-demo1.wav-dsr,1375874,7210,Bongo1.wav-dsr,24720,2266,0.4022393812242524
